subj_code,eval,prompt,prompt_uuid,res_A,res_B,left_response,right_response,final_answer,is_correct,space_rt,choice_rt,justification
A1YTNGH5SMM2CJ,minimal,The vase is North of Ali. Ali turns around. The vase is BLANK Ali.,a3aa7fe8-9da6-5cc8-8664-c4fd06944bd2,North of,South of,South of,North of,South of,0,5093.0,785.7999999970198,
A1YTNGH5SMM2CJ,minimal,The plate is on the floor. Ali bumps the table. The plate BLANK.,746aa902-d880-5b36-add1-a3457a31beb3,doesn't break,breaks,doesn't break,breaks,doesn't break,1,4128.89999999851,4168.79999999702,
A1YTNGH5SMM2CJ,minimal,The empty carton is on the table. Ali knocks the carton over. The table is BLANK.,6bb50e85-6ac5-52a5-b623-32e416664177,dry,wet,wet,dry,dry,1,8442.10000000149,4817.69999999553,
A1YTNGH5SMM2CJ,minimal,The mug is on the table. Ali bumps the lamp. The mug BLANK.,81e84bb2-9f95-5bbd-bbe3-af94794b6123,doesn't break,breaks,doesn't break,breaks,doesn't break,1,3266.60000000149,4935.0,
A1YTNGH5SMM2CJ,minimal,The empty pitcher is on the table. Ali fills the sink. The pitcher is BLANK.,ee9b763e-9f9e-59f8-9bc5-1c6e2075abae,dry,wet,wet,dry,dry,1,3930.70000000298,4146.0,
A1YTNGH5SMM2CJ,minimal,The empty jug is on the table. Ali fills the sink. The jug is BLANK.,654f6276-9e9e-52c2-867d-b66c3aa70976,dry,wet,wet,dry,dry,1,7383.69999999553,3002.89999999851,
A1497L153RMH2L,minimal,The tree is North of Ali. Ali turns around. The tree is BLANK Ali.,f8a90dad-f837-555e-beb1-3a5da5eb35ef,North of,South of,South of,North of,South of,0,3294.5,4006.800000011921,
A1497L153RMH2L,minimal,The water is on the table. Ali turns on the stove. The water gets BLANK.,d363d97e-3c05-5ea9-b0af-4bfba2258626,colder,warmer,warmer,colder,warmer,0,5276.600000023842,2279.100000023842,
A1497L153RMH2L,minimal,The empty wineglass is on the table. Ali knocks the wineglass over. The table is BLANK.,dfb0bf34-70f6-5390-b055-469ef8e6506c,dry,wet,wet,dry,wet,0,4697.599999964237,2919.900000035763,
A1497L153RMH2L,minimal,The jar is on the floor. Ali bumps the table. The jar BLANK.,272fb3b8-f899-5ff0-ae86-55a1cddaa8e6,doesn't break,breaks,doesn't break,breaks,doesn't break,1,4398.300000011921,5108.900000035763,
A1497L153RMH2L,minimal,The empty teapot is on the table. Ali knocks the teapot over. The table is BLANK.,35b3312e-b7e0-59b8-933b-ec0336ad5162,dry,wet,wet,dry,dry,1,5265.699999988079,3320.5,
A1497L153RMH2L,minimal,The cup is on the table. Ali bumps the lamp. The cup BLANK.,e9a925cf-de07-55f7-8ab3-9f28791b3728,doesn't break,breaks,doesn't break,breaks,doesn't break,1,3458.399999976158,1303.5,
A1497L153RMH2L,minimal,The cup is on the floor. Ali bumps the table. The cup BLANK.,852b0651-2c81-5807-ba4a-d3f2a56a5e5d,doesn't break,breaks,breaks,doesn't break,doesn't break,1,2379.399999976158,1269.0,
A1497L153RMH2L,minimal,The pasta is on the table. Ali turns on the stove. The pasta gets BLANK.,a74a9014-1030-5c5d-b1d0-43ada1ff9c9d,colder,warmer,warmer,colder,colder,1,2757.199999988079,2585.699999988079,
A1497L153RMH2L,minimal,The television is on the table. Ali bumps the lamp. The television BLANK.,60833207-b675-5f32-ab67-85a791ce814f,doesn't break,breaks,breaks,doesn't break,doesn't break,1,6105.300000011921,2090.200000047684,
A1497L153RMH2L,minimal,The empty box is on the table. Ali fills the sink. The box is BLANK.,58b88005-7f83-54dc-8994-ba230c248673,dry,wet,wet,dry,dry,1,2584.200000047684,3114.0,
A1497L153RMH2L,minimal,The museum is North of Ali. Ali turns around. The museum is BLANK Ali.,11d7dec7-34c3-5381-80c8-460155badd74,North of,South of,North of,South of,North of,1,4556.0,1414.800000011921,
A1497L153RMH2L,minimal,The empty bowl is on the table. Ali fills the sink. The bowl is BLANK.,b53176cd-e250-5a59-b3be-ceaba45ea634,dry,wet,wet,dry,dry,1,2477.600000023842,811.1999999880791,
A1TPGXT718D68E,minimal,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,03be173e-02aa-5a79-968a-ce8ea00117d3,dry,wet,dry,wet,dry,1,3933.0,4157.5,
A1TPGXT718D68E,minimal,The vase is on the table. Ali bumps the lamp. The vase BLANK.,2f76e57c-aad0-59fa-99e3-ad747c8c14d1,doesn't break,breaks,doesn't break,breaks,doesn't break,1,5071.800000011921,1378.5,
A1TPGXT718D68E,minimal,The statue is North of Ali. Ali turns around. The statue is BLANK Ali.,54f3455a-0981-5b04-b253-5891eb7c16e5,North of,South of,South of,North of,South of,0,10044.5,1931.0,
A1TPGXT718D68E,minimal,The painting is North of Ali. Ali turns around. The painting is BLANK Ali.,64e3f33d-f1bb-5469-960d-6b974ada7e0a,North of,South of,South of,North of,South of,0,3718.699999988079,931.0,
A1TPGXT718D68E,minimal,The porridge is on the table. Ali turns on the stove. The porridge gets BLANK.,2b80b416-13b1-5a5a-9b61-4c40aac5cf9e,colder,warmer,warmer,colder,colder,1,2987.9000000059605,6036.0,
A1TPGXT718D68E,minimal,The empty cup is on the table. Ali fills the sink. The cup is BLANK.,01ab1e92-2477-582f-a9a9-917cb2a0983b,dry,wet,dry,wet,dry,1,3481.199999988079,1379.5,
A1TPGXT718D68E,minimal,The vase is on the floor. Ali bumps the table. The vase BLANK.,b981d9fe-77c9-531c-afc1-fc37c2d11e04,doesn't break,breaks,breaks,doesn't break,doesn't break,1,2716.100000023842,4594.200000017881,
A1TPGXT718D68E,minimal,The glass is on the table. Ali bumps the lamp. The glass BLANK.,4c8e019f-3f91-5c88-bdea-d68026fd0446,doesn't break,breaks,breaks,doesn't break,doesn't break,1,2969.300000011921,1157.699999988079,
A1TPGXT718D68E,minimal,The empty mug is on the table. Ali knocks the mug over. The table is BLANK.,7f7d49b6-0545-5dd9-9166-80fc48a498e7,dry,wet,wet,dry,dry,1,3802.399999976158,1782.9000000059605,
A1TPGXT718D68E,minimal,The glass is on the floor. Ali bumps the table. The glass BLANK.,2a5f6d9c-8b03-5fe5-8a19-87971947d204,doesn't break,breaks,breaks,doesn't break,doesn't break,1,4670.0,765.9000000059605,
A1TPGXT718D68E,minimal,The soup is on the table. Ali turns on the stove. The soup gets BLANK.,43bffc24-3955-522c-a74b-5fd4b204d283,colder,warmer,colder,warmer,colder,1,3534.5,2756.5,
A1TPGXT718D68E,minimal,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,03be173e-02aa-5a79-968a-ce8ea00117d3,dry,wet,wet,dry,dry,1,4307.0,1022.0,
A1TPGXT718D68E,minimal,The empty glass is on the table. Ali fills the sink. The glass is BLANK.,34ea25b7-8077-5b64-bc1b-17e62828dfb0,dry,wet,dry,wet,dry,1,3606.799999982119,946.4000000059604,
A152B28KVSOXMV,minimal,The empty bottle is on the table. Ali knocks the bottle over. The table is BLANK.,f1c8f5cb-5ef5-5bd2-b1ae-37722af5ab13,dry,wet,dry,wet,wet,0,8660.0,2179.0,
A152B28KVSOXMV,minimal,The rice is on the table. Ali turns on the stove. The rice gets BLANK.,ff215e3b-d72f-5802-b7c5-e74b4bbbdb7c,colder,warmer,colder,warmer,colder,1,18464.0,12277.0,
A152B28KVSOXMV,minimal,The city is North of Ali. Ali turns around. The city is BLANK Ali.,d67a4a6d-bc61-537a-8b65-178cf81511b2,North of,South of,South of,North of,North of,1,8608.0,11798.0,
A152B28KVSOXMV,minimal,The pot is on the floor. Ali bumps the table. The pot BLANK.,0318a66a-6207-5568-9d40-200aa1786c0b,doesn't break,breaks,breaks,doesn't break,doesn't break,1,6389.0,2507.0,
A152B28KVSOXMV,minimal,The phone is on the table. Ali bumps the lamp. The phone BLANK.,2828fd38-836b-534a-a861-283f930b7d39,doesn't break,breaks,breaks,doesn't break,doesn't break,1,5356.0,3245.0,
A152B28KVSOXMV,minimal,The empty pot is on the table. Ali knocks the pot over. The table is BLANK.,3bc3df7d-a91c-5999-8bb6-788efd21d35e,dry,wet,dry,wet,dry,1,7763.0,7761.0,
A152B28KVSOXMV,minimal,The empty container is on the table. Ali fills the sink. The container is BLANK.,8e3a22ae-91ba-581e-9943-23bcec0a345d,dry,wet,wet,dry,dry,1,5715.0,2634.0,
A152B28KVSOXMV,minimal,The empty bottle is on the table. Ali fills the sink. The bottle is BLANK.,f20343fe-adbf-5f1f-984e-58ee5b7c2b91,dry,wet,wet,dry,dry,1,5265.0,2110.0,
A152B28KVSOXMV,minimal,The mirror is on the table. Ali bumps the lamp. The mirror BLANK.,cc6308c4-fe93-592d-bd7c-c3c3495dfb04,doesn't break,breaks,doesn't break,breaks,doesn't break,1,6601.0,6651.0,
A152B28KVSOXMV,minimal,The phone is on the floor. Ali bumps the table. The phone BLANK.,a0089e09-ecb1-5910-97f4-de47ef22bfcd,doesn't break,breaks,doesn't break,breaks,doesn't break,1,4839.0,2282.0,
A152B28KVSOXMV,minimal,The lake is North of Ali. Ali turns around. The lake is BLANK Ali.,9c900f5c-ba5e-50dd-ad14-ff2e930698e4,North of,South of,North of,South of,North of,1,5513.0,2290.0,
A152B28KVSOXMV,minimal,The stew is on the table. Ali turns on the stove. The stew gets BLANK.,03c79cd5-cadc-5704-b773-cdd109719ae3,colder,warmer,colder,warmer,colder,1,6339.0,3156.0,
A20312TZ2OWQ2W,minimal,The porridge is on the table. Ali turns on the stove. The porridge gets BLANK.,2b80b416-13b1-5a5a-9b61-4c40aac5cf9e,colder,warmer,warmer,colder,warmer,0,2055.199999988079,18159.80000001192,
A20312TZ2OWQ2W,minimal,The soup is on the table. Ali turns on the stove. The soup gets BLANK.,43bffc24-3955-522c-a74b-5fd4b204d283,colder,warmer,colder,warmer,warmer,0,4142.0,1055.5999999642372,
A20312TZ2OWQ2W,minimal,The glass is on the table. Ali bumps the lamp. The glass BLANK.,4c8e019f-3f91-5c88-bdea-d68026fd0446,doesn't break,breaks,breaks,doesn't break,breaks,0,3967.400000035763,2127.899999976158,
A20312TZ2OWQ2W,minimal,The statue is North of Ali. Ali turns around. The statue is BLANK Ali.,54f3455a-0981-5b04-b253-5891eb7c16e5,North of,South of,South of,North of,South of,0,3823.0,1112.100000023842,
A20312TZ2OWQ2W,minimal,The glass is on the floor. Ali bumps the table. The glass BLANK.,2a5f6d9c-8b03-5fe5-8a19-87971947d204,doesn't break,breaks,breaks,doesn't break,breaks,0,5823.099999964237,1383.7000000476835,
A20312TZ2OWQ2W,minimal,The painting is North of Ali. Ali turns around. The painting is BLANK Ali.,64e3f33d-f1bb-5469-960d-6b974ada7e0a,North of,South of,South of,North of,South of,0,3815.0,3527.699999988079,
A20312TZ2OWQ2W,minimal,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,03be173e-02aa-5a79-968a-ce8ea00117d3,dry,wet,wet,dry,wet,0,3943.600000023842,2471.699999988079,
A20312TZ2OWQ2W,minimal,The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,03be173e-02aa-5a79-968a-ce8ea00117d3,dry,wet,dry,wet,wet,0,5223.300000011921,2912.0,
A20312TZ2OWQ2W,minimal,The empty glass is on the table. Ali fills the sink. The glass is BLANK.,34ea25b7-8077-5b64-bc1b-17e62828dfb0,dry,wet,wet,dry,wet,0,1791.2000000476835,4479.600000023842,
A20312TZ2OWQ2W,minimal,The vase is on the floor. Ali bumps the table. The vase BLANK.,b981d9fe-77c9-531c-afc1-fc37c2d11e04,doesn't break,breaks,breaks,doesn't break,breaks,0,2992.300000011921,3695.5,
A20312TZ2OWQ2W,minimal,The vase is on the table. Ali bumps the lamp. The vase BLANK.,2f76e57c-aad0-59fa-99e3-ad747c8c14d1,doesn't break,breaks,breaks,doesn't break,breaks,0,2696.0,1367.5999999642372,
A20312TZ2OWQ2W,minimal,The empty cup is on the table. Ali fills the sink. The cup is BLANK.,01ab1e92-2477-582f-a9a9-917cb2a0983b,dry,wet,dry,wet,wet,0,10183.899999976158,2367.300000011921,
A20312TZ2OWQ2W,minimal,The empty mug is on the table. Ali knocks the mug over. The table is BLANK.,7f7d49b6-0545-5dd9-9166-80fc48a498e7,dry,wet,dry,wet,dry,1,15446.899999976158,3007.899999976158,
A12I6MX0ULUDH0,minimal,The pasta is on the table. Ali turns on the stove. The pasta gets BLANK.,a74a9014-1030-5c5d-b1d0-43ada1ff9c9d,colder,warmer,warmer,colder,warmer,0,3196.199999988079,1608.5999999642372,
A12I6MX0ULUDH0,minimal,The empty teapot is on the table. Ali knocks the teapot over. The table is BLANK.,35b3312e-b7e0-59b8-933b-ec0336ad5162,dry,wet,wet,dry,dry,1,4502.399999976158,1556.600000023842,
A12I6MX0ULUDH0,minimal,The water is on the table. Ali turns on the stove. The water gets BLANK.,d363d97e-3c05-5ea9-b0af-4bfba2258626,colder,warmer,warmer,colder,warmer,0,187.5,2794.7999999523163,
A12I6MX0ULUDH0,minimal,The empty bowl is on the table. Ali fills the sink. The bowl is BLANK.,b53176cd-e250-5a59-b3be-ceaba45ea634,dry,wet,wet,dry,dry,1,145.10000002384186,4124.199999988079,
A12I6MX0ULUDH0,minimal,The cup is on the table. Ali bumps the lamp. The cup BLANK.,e9a925cf-de07-55f7-8ab3-9f28791b3728,doesn't break,breaks,doesn't break,breaks,breaks,0,1223.399999976158,3823.799999952316,
A12I6MX0ULUDH0,minimal,The jar is on the floor. Ali bumps the table. The jar BLANK.,272fb3b8-f899-5ff0-ae86-55a1cddaa8e6,doesn't break,breaks,doesn't break,breaks,doesn't break,1,3261.600000023842,3122.699999988079,
A12I6MX0ULUDH0,minimal,The empty wineglass is on the table. Ali knocks the wineglass over. The table is BLANK.,dfb0bf34-70f6-5390-b055-469ef8e6506c,dry,wet,wet,dry,dry,1,3522.5,3477.700000047684,
A12I6MX0ULUDH0,minimal,The cup is on the floor. Ali bumps the table. The cup BLANK.,852b0651-2c81-5807-ba4a-d3f2a56a5e5d,doesn't break,breaks,doesn't break,breaks,doesn't break,1,2480.600000023842,4877.800000011921,
A12I6MX0ULUDH0,minimal,The empty box is on the table. Ali fills the sink. The box is BLANK.,58b88005-7f83-54dc-8994-ba230c248673,dry,wet,wet,dry,dry,1,148.19999998807907,4038.0,
A12I6MX0ULUDH0,minimal,The museum is North of Ali. Ali turns around. The museum is BLANK Ali.,11d7dec7-34c3-5381-80c8-460155badd74,North of,South of,North of,South of,North of,1,7113.400000035763,4575.199999988079,
A12I6MX0ULUDH0,minimal,The tree is North of Ali. Ali turns around. The tree is BLANK Ali.,f8a90dad-f837-555e-beb1-3a5da5eb35ef,North of,South of,South of,North of,North of,1,196.3999999761581,3280.099999964237,
A12I6MX0ULUDH0,minimal,The television is on the table. Ali bumps the lamp. The television BLANK.,60833207-b675-5f32-ab67-85a791ce814f,doesn't break,breaks,doesn't break,breaks,doesn't break,1,2085.800000011921,6554.700000047684,
A22H1AZTZT2VKR,minimal,The empty jar is on the table. Ali knocks the jar over. The table is BLANK.,d0c6d46f-fa2f-5c0a-93d2-5ebf343adfef,dry,wet,wet,dry,dry,1,5900.0,3877.0,
A22H1AZTZT2VKR,minimal,The empty flask is on the table. Ali fills the sink. The flask is BLANK.,9727b31c-2a14-5db5-9980-0074c623524f,dry,wet,dry,wet,dry,1,708.0,4822.0,
A22H1AZTZT2VKR,minimal,The lamp is on the floor. Ali bumps the table. The lamp BLANK.,730042f0-d8b0-5c6c-8bf7-410416a84eb5,doesn't break,breaks,doesn't break,breaks,breaks,0,1034.0,8606.0,
A22H1AZTZT2VKR,minimal,The emtpy can is on the table. Ali fills the sink. The can is BLANK.,23582299-2316-5e9e-a72f-ef1038bc4df3,dry,wet,wet,dry,dry,1,1368.0,3193.0,
A22H1AZTZT2VKR,minimal,The ornament is on the table. Ali bumps the lamp. The ornament BLANK.,95cf280f-0045-5691-9286-ca2825f711f3,doesn't break,breaks,breaks,doesn't break,breaks,0,769.0,1950.0,
A22H1AZTZT2VKR,minimal,The empty pitcher is on the table. Ali knocks the pitcher over. The table is BLANK.,ce777ad4-6e7f-5a27-bd97-42231b86b999,dry,wet,wet,dry,wet,0,754.0,5104.0,
A22H1AZTZT2VKR,minimal,The sculpture is on the floor. Ali bumps the table. The sculpture BLANK.,6837d037-fd89-5325-945f-ec953cdaf8fc,doesn't break,breaks,doesn't break,breaks,doesn't break,1,588.0,5647.0,
A22H1AZTZT2VKR,minimal,The house is North of Ali. Ali turns around. The house is BLANK Ali.,168b3f9d-5c7e-5e03-948e-a8b96b9e08a7,North of,South of,North of,South of,North of,1,768.0,4154.0,
A22H1AZTZT2VKR,minimal,The chili is on the table. Ali turns on the stove. The chili gets BLANK.,688b9409-948b-5506-a5bd-8f72bd8f0cdd,colder,warmer,colder,warmer,colder,1,4202.0,1767.0,
A22H1AZTZT2VKR,minimal,The mountain is North of Ali. Ali turns around. The mountain is BLANK Ali.,cbe70172-4bc2-5518-ae97-53e795d58f6a,North of,South of,South of,North of,North of,1,761.0,4201.0,
A22H1AZTZT2VKR,minimal,The gumbo is on the table. Ali turns on the stove. The gumbo gets BLANK.,052dddd5-a2cf-5e97-90ed-7e2d2e91f62e,colder,warmer,colder,warmer,colder,1,888.0,3356.0,
A22H1AZTZT2VKR,minimal,The tablet is on the table. Ali bumps the lamp. The tablet BLANK.,1859f2b1-26a2-5a64-959f-fab9926dbb6d,doesn't break,breaks,doesn't break,breaks,doesn't break,1,3757.0,1146.0,
A1572S1IUWVV5I,minimal,The computer is North of Ali. Ali turns around. The computer is BLANK Ali.,40691f9e-5ca7-5c21-98cb-f1f3e90fece7,North of,South of,South of,North of,South of,0,3375.600000023842,1790.5999999046326,
A1572S1IUWVV5I,minimal,The empty jar is on the table. Ali fills the sink. The jar is BLANK.,637372ba-bac0-5ffc-95af-27467657d0b0,dry,wet,dry,wet,dry,1,614.6000000238419,14752.199999928474,
A1572S1IUWVV5I,minimal,The candle is on the table. Ali bumps the lamp. The candle BLANK.,0edfc764-15dc-56a4-97f0-79696d42e604,doesn't break,breaks,doesn't break,breaks,breaks,0,6703.299999952316,4320.100000023842,
A1572S1IUWVV5I,minimal,The chicken is on the table. Ali turns on the stove. The chicken gets BLANK.,6fbad9b4-9231-5796-a9b4-b8e8fb940654,colder,warmer,colder,warmer,warmer,0,3984.200000047684,1879.3000000715256,
A1572S1IUWVV5I,minimal,The book is North of Ali. Ali turns around. The book is BLANK Ali.,68d84e25-fe4e-5077-a48e-f046d48af2fc,North of,South of,North of,South of,South of,0,1887.399999976158,2088.100000023842,
A1572S1IUWVV5I,minimal,The tablet is on the floor. Ali bumps the table. The tablet BLANK.,c746580e-0ddd-5f98-b93a-f4cca7c1f161,doesn't break,breaks,breaks,doesn't break,breaks,0,3262.9000000953674,6272.600000023842,
A1572S1IUWVV5I,minimal,The portrait is on the table. Ali bumps the lamp. The portrait BLANK.,887ddffd-f870-51c3-a4da-9d16882413d5,doesn't break,breaks,breaks,doesn't break,doesn't break,1,2558.600000023842,5663.5,
A1572S1IUWVV5I,minimal,The empty bowl is on the table. Ali knocks the bowl over. The table is BLANK.,06b16899-ccf7-506d-b8e7-c094839d0ed7,dry,wet,dry,wet,dry,1,2384.599999904633,6751.899999976158,
A1572S1IUWVV5I,minimal,The curry is on the table. Ali turns on the stove. The curry gets BLANK.,b0f42dcc-e0f5-5341-907b-8832326e0521,colder,warmer,warmer,colder,colder,1,4657.0,990.899999976158,
A1572S1IUWVV5I,minimal,The empty flask is on the table. Ali knocks the flask over. The table is BLANK.,4d25e5cd-4b9f-54f6-abe2-eafde27f21c2,dry,wet,dry,wet,dry,1,3055.600000023842,4952.099999904633,
A1572S1IUWVV5I,minimal,The ornament is on the floor. Ali bumps the table. The ornament BLANK.,e5ae0bb2-4f9a-5c05-8a70-d24d352debe0,doesn't break,breaks,breaks,doesn't break,breaks,0,1175.3000000715256,3552.7999999523163,
A1572S1IUWVV5I,minimal,The empty kettle is on the table. Ali fills the sink. The kettle is BLANK.,335be0e6-a5ed-5801-80f1-5c6cab349d24,dry,wet,dry,wet,dry,1,3647.700000047684,3463.099999904633,
A2618CTGSM6RBN,minimal,The empty mug is on the table. Ali knocks the mug over. The table is BLANK.,7f7d49b6-0545-5dd9-9166-80fc48a498e7,dry,wet,wet,dry,wet,0,623.6000000238419,3935.899999976158,
A2618CTGSM6RBN,minimal,The porridge is on the table. Ali turns on the stove. The porridge gets BLANK.,2b80b416-13b1-5a5a-9b61-4c40aac5cf9e,colder,warmer,colder,warmer,warmer,0,703.5,3663.899999976158,
