subj_code,eval,session,prompt,prompt_uuid,res_A,res_B,left_response,right_response,final_answer,is_correct,space_rt,choice_rt,justification,prompt_type,category
A195MOXRMNHRVT,retest,1,The painting is BLANK of Ali. Ali turns left. The painting is right of Ali.,805deedd-d47e-54f8-b7e7-81318f8435b7,in front of,behind,behind,in front of,in front of,1,3887.699999988079,8882.90000000596,,context,egocentric_near
A195MOXRMNHRVT,retest,1,Ali is behind the statue. Ali turns around. Ali is BLANK.,527fdd15-db92-57e8-bc5c-09d9964e45b1,behind the statue,in front of the statue,behind the statue,in front of the statue,behind the statue,1,5835.0,1518.2000000178814,,target,action_nonfollows
A195MOXRMNHRVT,retest,1,The painting is behind Ali. Ali turns left. The painting is BLANK Ali.,2f6ac9c5-17f9-5a23-ab8d-9d0d3d3335c4,left of,right of,left of,right of,left of,1,3761.099999994039,8554.799999982119,,target,egocentric_near
A195MOXRMNHRVT,retest,1,Ali is BLANK the wagon. Ali pushes on the wagon. The wagon moves.,40d46345-fe82-5f5a-82a0-f24d259674d7,behind,in front of,behind,in front of,behind,1,3052.9000000059605,3536.9000000059605,,context,action_follows
A195MOXRMNHRVT,retest,1,The glass is on the floor. Ali bumps the table. The glass BLANK.,2a5f6d9c-8b03-5fe5-8a19-87971947d204,doesn't break,breaks,doesn't break,breaks,doesn't break,1,2717.300000011921,2634.7000000178814,,target,state_nonfollows
A195MOXRMNHRVT,retest,1,The ball is BLANK the box. Ali pushes the ball forward. The ball is under the box.,11b9c7f0-ecb6-5489-b941-2a3815cb66ce,under,above,above,under,under,1,3995.699999988079,5663.700000017881,,context,action_nonfollows
A195MOXRMNHRVT,retest,1,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,left of,right of,left of,1,12889.90000000596,6781.700000017881,,context,egocentric_near
A195MOXRMNHRVT,retest,1,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,left of,right of,left of,1,12889.90000000596,6781.700000017881,,context,egocentric_near
A195MOXRMNHRVT,retest,1,The glass is on the table. Ali fills the glass halfway. The table is BLANK.,b8aeb728-ce96-53b4-a022-80902bd4ed2d,dry,wet,dry,wet,dry,1,2051.399999976158,2068.199999988079,,target,state_nonfollows
A195MOXRMNHRVT,retest,1,The ice cube and the banana are in the fridge. Ali takes the BLANK out of the fridge. The ice cube doesn't melt.,36c076db-ae0e-5966-819d-9d048054999d,banana,ice cube,ice cube,banana,banana,1,6065.200000017881,1273.800000011921,,context,state_nonfollows
A195MOXRMNHRVT,retest,1,Ali is BLANK the painting. Ali turns around. Ali is in front of the painting,4cde61ac-2955-5d50-8692-d17bf79b8940,in front of,behind,behind,in front of,in front of,1,4639.899999976158,1947.5,,context,egocentric_near
A195MOXRMNHRVT,retest,1,Ali is BLANK the wagon. Ali pulls on the wagon. The wagon doesn't move.,d68fd4fa-114f-58ff-922b-8ba73bc38c68,in,outside,outside,in,in,1,1840.300000011921,5729.199999988079,,context,action_nonfollows
A195MOXRMNHRVT,retest,1,Chicago is behind Ali. Ali turns right. Chicago is BLANK Ali.,ecf1bbc5-92d2-5b77-9ebe-7090991e3b5d,right of,left of,right of,left of,right of,1,4008.800000011921,1437.5999999940395,,target,egocentric_distant
A195MOXRMNHRVT,retest,1,Ali is facing BLANK Chicago. Ali turns left. Chicago is right of Ali.,fe65df9a-14f6-5a27-8f01-1a0bed69b8e5,towards,away from,towards,away from,away from,0,8180.40000000596,6199.699999988079,,context,egocentric_distant
A195MOXRMNHRVT,retest,1,The painting is to Ali's right. The painting is moved right. The painting is to Ali's BLANK.,ead989ef-2c5a-5676-a32c-f2f2055cae2d,right,left,right,left,right,1,4449.09999999404,721.5,,target,egocentric_near
A195MOXRMNHRVT,retest,1,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1710b645-2bb2-54c6-8ac1-62f03525d880,in front of,behind,behind,in front of,in front of,1,2838.199999988079,1970.4000000059605,,target,egocentric_distant
A195MOXRMNHRVT,retest,1,Ali is BLANK. Ali turns around. Ali is in front of the statue.,7cfd7bad-4e38-507a-a6d8-243e8c667d1b,in front of the statue,behind the statue,behind the statue,in front of the statue,in front of the statue,1,3073.800000011921,1400.100000023842,,context,action_nonfollows
A195MOXRMNHRVT,retest,1,The painting is to Ali's left. The painting is moved left. The painting is to Ali's BLANK.,77bdedf3-bae1-5250-9280-746344392bdd,right,left,right,left,left,0,3589.199999988079,854.5999999940395,,target,egocentric_near
A195MOXRMNHRVT,retest,1,The painting is BLANK Ali. Ali turns right. The painting is right of Ali.,1916451f-868a-5f58-9e6c-6033ca77e634,behind,in front of,behind,in front of,behind,1,4090.2000000178814,3169.300000011921,,context,egocentric_near
A195MOXRMNHRVT,retest,1,The painting is BLANK Ali. Ali turns around. The painting is left of Ali.,a350fecf-cf01-5eef-a227-25028fad7f14,right of,left of,right of,left of,right of,1,3397.5999999940395,4830.59999999404,,context,egocentric_near
A195MOXRMNHRVT,retest,1,The painting is BLANK Ali. Ali turns left. The painting is left of Ali.,8c63c6ea-38dc-5bb2-a95b-c1b63865bdaf,behind,in front of,behind,in front of,in front of,0,3368.2999999821186,9961.09999999404,,context,egocentric_near
A195MOXRMNHRVT,retest,1,Chicago is to Ali's BLANK. Ali turns left. Ali is facing towards Chicago.,29c5b0e8-2242-5aa6-ad05-0a8b33bc7aec,left,right,left,right,right,0,12311.100000023842,8360.699999988079,,context,egocentric_distant
A195MOXRMNHRVT,retest,1,The ball is five feet from the box. Ali moves the box. The ball BLANK.,eae220a6-b112-595b-8808-41aaec2e4f3d,doesn't move,moves,moves,doesn't move,doesn't move,1,4092.899999976158,827.3000000119209,,target,action_nonfollows
A195MOXRMNHRVT,retest,1,Ali is behind the painting. Ali turns around. Ali is BLANK the painting.,cb0d70bb-d9f6-5100-902d-21fd6221cecf,behind,in front of,behind,in front of,behind,1,4810.199999988079,981.3000000119208,,target,egocentric_near
A195MOXRMNHRVT,retest,1,The seesaw is balanced. Ali tilts the BLANK side of the seesaw. The left side goes up.,9ce7fedd-cd4e-5e5e-8af4-7c87b269dcf9,right,left,right,left,right,1,4476.5,799.0,,context,action_follows
A195MOXRMNHRVT,retest,2,The box is in the bin. Ali moves the box. The bin BLANK.,ba5435e7-cc12-557d-be71-b241947e2f6c,doesn't move,moves,doesn't move,moves,doesn't move,1,6162.9000000059605,830.3000000119209,,target,action_nonfollows
A195MOXRMNHRVT,retest,2,The box is in the bin. Ali moves the box. The bin BLANK.,ba5435e7-cc12-557d-be71-b241947e2f6c,doesn't move,moves,,,doesn't move,-1,,,"There's a text box here and it doesn't say what to put. 
Ali moved the box inside the bin. I don't see why the bin would move.",target,action_nonfollows
A195MOXRMNHRVT,retest,2,The ball is BLANK the box. The ball moves right. The ball is lower than the box.,f7886140-c3a9-5bb0-9dc4-99612c3e3180,under,above,under,above,under,1,9881.90000000596,1293.4000000059605,,context,action_nonfollows
A195MOXRMNHRVT,retest,2,The ball is BLANK the box. The ball moves right. The ball is lower than the box.,f7886140-c3a9-5bb0-9dc4-99612c3e3180,under,above,,,under,-1,,,The ball moves right and continues to be under the box.,context,action_nonfollows
A195MOXRMNHRVT,retest,2,The box is floating in the water. Ali puts a tennis ball in the box. The box BLANK.,15a162c3-7638-5144-a4a3-f9a13b33f485,floats,sinks,floats,sinks,floats,1,5450.5,4986.299999982119,,target,action_nonfollows
A195MOXRMNHRVT,retest,2,The box is floating in the water. Ali puts a tennis ball in the box. The box BLANK.,15a162c3-7638-5144-a4a3-f9a13b33f485,floats,sinks,,,floats,-1,,,A tennis ball probably wouldn't sink it.,target,action_nonfollows
A195MOXRMNHRVT,retest,2,Ali is facing away from Chicago. Ali turns left. Chicago is BLANK Ali.,9f9092b3-4ed3-5b54-92bb-a68e83301300,left of,right of,left of,right of,left of,1,8352.300000011921,2075.899999976158,,target,egocentric_distant
A195MOXRMNHRVT,retest,2,Ali is facing away from Chicago. Ali turns left. Chicago is BLANK Ali.,9f9092b3-4ed3-5b54-92bb-a68e83301300,left of,right of,,,left of,-1,,,Pictured it in my head,target,egocentric_distant
A195MOXRMNHRVT,retest,2,Ali is BLANK painting. Ali turns around. Ali is behind the painting.,d91e34a1-58ec-5efe-bd1d-3da56dfe0d5c,behind,in front of,behind,in front of,behind,1,6909.199999988079,3199.4000000059605,,context,egocentric_near
A195MOXRMNHRVT,retest,2,Ali is BLANK painting. Ali turns around. Ali is behind the painting.,d91e34a1-58ec-5efe-bd1d-3da56dfe0d5c,behind,in front of,,,behind,-1,,,"If someone's behind a painting, turning wouldn't put them in front of it.",context,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK of Ali. Ali turns left. The painting is right of Ali.,805deedd-d47e-54f8-b7e7-81318f8435b7,in front of,behind,in front of,behind,in front of,1,19457.19999998808,3462.899999976158,,context,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK of Ali. Ali turns left. The painting is right of Ali.,805deedd-d47e-54f8-b7e7-81318f8435b7,in front of,behind,,,in front of,-1,,,I really don't get this one,context,egocentric_near
A195MOXRMNHRVT,retest,2,Ali is BLANK the wagon. Ali pushes on the wagon. The wagon moves.,40d46345-fe82-5f5a-82a0-f24d259674d7,behind,in front of,behind,in front of,behind,1,5751.9000000059605,4660.800000011921,,context,action_follows
A195MOXRMNHRVT,retest,2,Ali is BLANK the wagon. Ali pushes on the wagon. The wagon moves.,40d46345-fe82-5f5a-82a0-f24d259674d7,behind,in front of,,,behind,-1,,,That's generally where you are when you push things,context,action_follows
A195MOXRMNHRVT,retest,2,The ball is BLANK the box. Ali pushes the ball forward. The ball is under the box.,11b9c7f0-ecb6-5489-b941-2a3815cb66ce,under,above,under,above,under,1,5882.4000000059605,1375.9000000059605,,context,action_nonfollows
A195MOXRMNHRVT,retest,2,The ball is BLANK the box. Ali pushes the ball forward. The ball is under the box.,11b9c7f0-ecb6-5489-b941-2a3815cb66ce,under,above,,,under,-1,,,The ball continues to be under the box,context,action_nonfollows
A195MOXRMNHRVT,retest,2,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,left of,right of,left of,1,5363.300000011921,7589.40000000596,,context,egocentric_near
A195MOXRMNHRVT,retest,2,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,left of,right of,left of,1,5363.300000011921,7589.40000000596,,context,egocentric_near
A195MOXRMNHRVT,retest,2,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,,,left of,-1,,,turning around will still make him left of it,context,egocentric_near
A195MOXRMNHRVT,retest,2,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,,,left of,-1,,,turning around will still make him left of it,context,egocentric_near
A195MOXRMNHRVT,retest,2,The ice cube and the banana are in the fridge. Ali takes the BLANK out of the fridge. The ice cube doesn't melt.,36c076db-ae0e-5966-819d-9d048054999d,banana,ice cube,ice cube,banana,banana,1,3391.300000011921,5524.09999999404,,context,state_nonfollows
A195MOXRMNHRVT,retest,2,The ice cube and the banana are in the fridge. Ali takes the BLANK out of the fridge. The ice cube doesn't melt.,36c076db-ae0e-5966-819d-9d048054999d,banana,ice cube,,,banana,-1,,,The ice cube doesn't melt because it's still in the fridge,context,state_nonfollows
A195MOXRMNHRVT,retest,2,Chicago is behind Ali. Ali turns right. Chicago is BLANK Ali.,ecf1bbc5-92d2-5b77-9ebe-7090991e3b5d,right of,left of,right of,left of,right of,1,7060.5,1606.5,,target,egocentric_distant
A195MOXRMNHRVT,retest,2,Chicago is behind Ali. Ali turns right. Chicago is BLANK Ali.,ecf1bbc5-92d2-5b77-9ebe-7090991e3b5d,right of,left of,,,right of,-1,,,Pictured it in my head,target,egocentric_distant
A195MOXRMNHRVT,retest,2,Ali is facing BLANK Chicago. Ali turns left. Chicago is right of Ali.,fe65df9a-14f6-5a27-8f01-1a0bed69b8e5,towards,away from,away from,towards,away from,0,5646.699999988079,2699.5999999940395,,context,egocentric_distant
A195MOXRMNHRVT,retest,2,Ali is facing BLANK Chicago. Ali turns left. Chicago is right of Ali.,fe65df9a-14f6-5a27-8f01-1a0bed69b8e5,towards,away from,,,away from,-1,,,"I don't know, can't picture this",context,egocentric_distant
A195MOXRMNHRVT,retest,2,The painting is to Ali's right. The painting is moved right. The painting is to Ali's BLANK.,ead989ef-2c5a-5676-a32c-f2f2055cae2d,right,left,right,left,right,1,4478.09999999404,1239.600000023842,,target,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is to Ali's right. The painting is moved right. The painting is to Ali's BLANK.,ead989ef-2c5a-5676-a32c-f2f2055cae2d,right,left,,,right,-1,,,it went even more right,target,egocentric_near
A195MOXRMNHRVT,retest,2,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1710b645-2bb2-54c6-8ac1-62f03525d880,in front of,behind,behind,in front of,in front of,1,1051.2999999821186,4514.199999988079,,target,egocentric_distant
A195MOXRMNHRVT,retest,2,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1710b645-2bb2-54c6-8ac1-62f03525d880,in front of,behind,,,in front of,-1,,,turning puts in in front,target,egocentric_distant
A195MOXRMNHRVT,retest,2,The painting is to Ali's left. The painting is moved left. The painting is to Ali's BLANK.,77bdedf3-bae1-5250-9280-746344392bdd,right,left,right,left,left,0,2805.7999999821186,1449.0,,target,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is to Ali's left. The painting is moved left. The painting is to Ali's BLANK.,77bdedf3-bae1-5250-9280-746344392bdd,right,left,,,left,-1,,,it continues to be left,target,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK Ali. Ali turns right. The painting is right of Ali.,1916451f-868a-5f58-9e6c-6033ca77e634,behind,in front of,in front of,behind,in front of,0,5922.5,8665.5,,context,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK Ali. Ali turns right. The painting is right of Ali.,1916451f-868a-5f58-9e6c-6033ca77e634,behind,in front of,,,in front of,-1,,,Pictured it in my head,context,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK Ali. Ali turns around. The painting is left of Ali.,a350fecf-cf01-5eef-a227-25028fad7f14,right of,left of,right of,left of,left of,0,5901.0,1320.5999999940395,,context,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK Ali. Ali turns around. The painting is left of Ali.,a350fecf-cf01-5eef-a227-25028fad7f14,right of,left of,,,left of,-1,,,it continues to be left,context,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK Ali. Ali turns left. The painting is left of Ali.,8c63c6ea-38dc-5bb2-a95b-c1b63865bdaf,behind,in front of,behind,in front of,in front of,0,2875.4000000059605,1638.2000000178814,,context,egocentric_near
A195MOXRMNHRVT,retest,2,The painting is BLANK Ali. Ali turns left. The painting is left of Ali.,8c63c6ea-38dc-5bb2-a95b-c1b63865bdaf,behind,in front of,,,in front of,-1,,,Pictured it happening,context,egocentric_near
A195MOXRMNHRVT,retest,2,Chicago is to Ali's BLANK. Ali turns left. Ali is facing towards Chicago.,29c5b0e8-2242-5aa6-ad05-0a8b33bc7aec,left,right,left,right,left,1,21173.69999998808,945.9000000059604,,context,egocentric_distant
A195MOXRMNHRVT,retest,2,Chicago is to Ali's BLANK. Ali turns left. Ali is facing towards Chicago.,29c5b0e8-2242-5aa6-ad05-0a8b33bc7aec,left,right,,,left,-1,,,pictured it happening,context,egocentric_distant
A195MOXRMNHRVT,retest,2,The seesaw is balanced. Ali tilts the BLANK side of the seesaw. The left side goes up.,9ce7fedd-cd4e-5e5e-8af4-7c87b269dcf9,right,left,right,left,right,1,5822.0,708.0,,context,action_follows
A195MOXRMNHRVT,retest,2,The seesaw is balanced. Ali tilts the BLANK side of the seesaw. The left side goes up.,9ce7fedd-cd4e-5e5e-8af4-7c87b269dcf9,right,left,,,right,-1,,,the action will happen on the opposite side,context,action_follows
A1D2W776ISG99K,retest,1,The ball is five feet from the box. Ali moves the box. The ball BLANK.,eae220a6-b112-595b-8808-41aaec2e4f3d,doesn't move,moves,doesn't move,moves,doesn't move,1,9419.400000035765,10479.30000001192,,target,action_nonfollows
A1D2W776ISG99K,retest,1,Ali is BLANK. Ali turns around. Ali is in front of the statue.,7cfd7bad-4e38-507a-a6d8-243e8c667d1b,in front of the statue,behind the statue,behind the statue,in front of the statue,behind the statue,0,1539.0,2869.7999999523163,,context,action_nonfollows
A1D2W776ISG99K,retest,1,Ali is facing away from Chicago. Ali turns left. Chicago is BLANK Ali.,9f9092b3-4ed3-5b54-92bb-a68e83301300,left of,right of,right of,left of,left of,1,749.5999999642372,829.8999999761581,,target,egocentric_distant
A1D2W776ISG99K,retest,1,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,left of,right of,right of,0,579.7000000476837,349.5999999642372,,context,egocentric_near
A1D2W776ISG99K,retest,1,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,left of,right of,right of,0,579.7000000476837,349.5999999642372,,context,egocentric_near
A1D2W776ISG99K,retest,1,The book is on the table. Ali moves the table. The book BLANK.,bf93e811-9a49-58b7-b6dc-6a47ece87d9f,moves,doesn't move,doesn't move,moves,moves,1,409.7000000476837,69.80000001192093,,target,action_follows
A1D2W776ISG99K,retest,1,The ball is BLANK the box. Ali pushes the ball forward. The ball is under the box.,11b9c7f0-ecb6-5489-b941-2a3815cb66ce,under,above,under,above,under,1,489.7000000476837,80.80000001192093,,context,action_nonfollows
A1D2W776ISG99K,retest,1,The glass is on the floor. Ali bumps the table. The glass BLANK.,2a5f6d9c-8b03-5fe5-8a19-87971947d204,doesn't break,breaks,breaks,doesn't break,doesn't break,1,153.39999997615814,64.80000001192093,,target,state_nonfollows
A1D2W776ISG99K,retest,1,The box is in the bin. Ali moves the box. The bin BLANK.,ba5435e7-cc12-557d-be71-b241947e2f6c,doesn't move,moves,doesn't move,moves,moves,0,249.60000002384183,139.80000001192093,,target,action_nonfollows
A1D2W776ISG99K,retest,1,Ali is behind the statue. Ali turns around. Ali is BLANK.,527fdd15-db92-57e8-bc5c-09d9964e45b1,behind the statue,in front of the statue,in front of the statue,behind the statue,in front of the statue,0,429.7000000476837,120.19999998807909,,target,action_nonfollows
A1D2W776ISG99K,retest,1,The seesaw is balanced. Ali tilts the BLANK side of the seesaw. The left side goes up.,9ce7fedd-cd4e-5e5e-8af4-7c87b269dcf9,right,left,left,right,right,1,166.20000004768372,112.80000001192091,,context,action_follows
A1D2W776ISG99K,retest,1,The ice cube and the banana are in the fridge. Ali takes the BLANK out of the fridge. The ice cube doesn't melt.,36c076db-ae0e-5966-819d-9d048054999d,banana,ice cube,ice cube,banana,banana,1,579.6000000238419,1.2999999523162842,,context,state_nonfollows
A1D2W776ISG99K,retest,1,Ali is behind the painting. Ali turns around. Ali is BLANK the painting.,cb0d70bb-d9f6-5100-902d-21fd6221cecf,behind,in front of,in front of,behind,in front of,0,394.800000011921,100.5,,target,egocentric_near
A1D2W776ISG99K,retest,1,Chicago is BLANK Ali. Ali turns right. Chicago is left of Ali.,27c72cf7-5d80-526d-9ace-d6625063dfe0,in front of,behind,behind,in front of,behind,0,470.5,179.80000001192093,,context,egocentric_distant
A1D2W776ISG99K,retest,1,The painting is BLANK Ali. Ali turns around. The painting is left of Ali.,a350fecf-cf01-5eef-a227-25028fad7f14,right of,left of,left of,right of,right of,1,58.0,169.5,,context,egocentric_near
A1D2W776ISG99K,retest,1,Ali is BLANK the wagon. Ali pulls on the wagon. The wagon doesn't move.,d68fd4fa-114f-58ff-922b-8ba73bc38c68,in,outside,in,outside,outside,0,39.60000002384186,200.39999997615817,,context,action_nonfollows
A1D2W776ISG99K,retest,1,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1710b645-2bb2-54c6-8ac1-62f03525d880,in front of,behind,behind,in front of,in front of,1,208.80000001192093,127.60000002384186,,target,egocentric_distant
A1D2W776ISG99K,retest,1,Ali is BLANK the wagon. Ali pushes on the wagon. The wagon moves.,40d46345-fe82-5f5a-82a0-f24d259674d7,behind,in front of,in front of,behind,in front of,0,511.8999999761581,120.19999998807909,,context,action_follows
A1D2W776ISG99K,retest,1,The glass is on the table. Ali fills the glass halfway. The table is BLANK.,b8aeb728-ce96-53b4-a022-80902bd4ed2d,dry,wet,wet,dry,dry,1,227.10000002384183,1.199999988079071,,target,state_nonfollows
A1D2W776ISG99K,retest,1,The painting is to Ali's left. The painting is moved left. The painting is to Ali's BLANK.,77bdedf3-bae1-5250-9280-746344392bdd,right,left,right,left,left,0,238.29999995231628,3047.100000023842,,target,egocentric_near
A1D2W776ISG99K,retest,1,The painting is BLANK Ali. Ali turns left. The painting is left of Ali.,8c63c6ea-38dc-5bb2-a95b-c1b63865bdaf,behind,in front of,behind,in front of,behind,1,1006.0,386.199999988079,,context,egocentric_near
A1D2W776ISG99K,retest,1,Ali is BLANK the painting. Ali turns around. Ali is in front of the painting,4cde61ac-2955-5d50-8692-d17bf79b8940,in front of,behind,in front of,behind,behind,0,549.6000000238419,15.0,,context,egocentric_near
A1D2W776ISG99K,retest,1,The glass and the cup are on the table. Ali pushes the BLANK off the table. The glass doesn't break.,88e4c11a-0766-534e-843f-4d59c387d497,cup,glass,glass,cup,glass,0,1314.5999999642372,670.0,,context,state_nonfollows
A1D2W776ISG99K,retest,1,The painting is behind Ali. Ali turns left. The painting is BLANK Ali.,2f6ac9c5-17f9-5a23-ab8d-9d0d3d3335c4,left of,right of,right of,left of,right of,0,379.199999988079,180.0,,target,egocentric_near
A1D2W776ISG99K,retest,1,Ali is facing BLANK Chicago. Ali turns left. Chicago is right of Ali.,fe65df9a-14f6-5a27-8f01-1a0bed69b8e5,towards,away from,away from,towards,away from,0,389.300000011921,140.0999999642372,,context,egocentric_distant
A1D2W776ISG99K,retest,1,The ball is BLANK the box. The ball moves right. The ball is lower than the box.,f7886140-c3a9-5bb0-9dc4-99612c3e3180,under,above,above,under,above,0,309.5999999642372,107.5,,context,action_nonfollows
A1D2W776ISG99K,retest,1,Chicago is to Ali's BLANK. Ali turns left. Ali is facing towards Chicago.,29c5b0e8-2242-5aa6-ad05-0a8b33bc7aec,left,right,left,right,left,1,162.0,169.5,,context,egocentric_distant
A1D2W776ISG99K,retest,1,The box is floating in the water. Ali puts a tennis ball in the box. The box BLANK.,15a162c3-7638-5144-a4a3-f9a13b33f485,floats,sinks,floats,sinks,sinks,0,360.19999998807907,190.10000002384183,,target,action_nonfollows
A1D2W776ISG99K,retest,1,Ali is BLANK painting. Ali turns around. Ali is behind the painting.,d91e34a1-58ec-5efe-bd1d-3da56dfe0d5c,behind,in front of,in front of,behind,behind,1,128.60000002384186,200.0,,context,egocentric_near
A1D2W776ISG99K,retest,1,The painting is BLANK Ali. Ali turns right. The painting is right of Ali.,1916451f-868a-5f58-9e6c-6033ca77e634,behind,in front of,in front of,behind,in front of,0,319.89999997615814,179.69999998807907,,context,egocentric_near
A1D2W776ISG99K,retest,1,The painting is BLANK of Ali. Ali turns left. The painting is right of Ali.,805deedd-d47e-54f8-b7e7-81318f8435b7,in front of,behind,behind,in front of,behind,0,163.5,176.0999999642372,,context,egocentric_near
A1D2W776ISG99K,retest,1,Chicago is behind Ali. Ali turns right. Chicago is BLANK Ali.,ecf1bbc5-92d2-5b77-9ebe-7090991e3b5d,right of,left of,right of,left of,right of,1,169.4000000357628,169.80000001192093,,target,egocentric_distant
A1D2W776ISG99K,retest,1,The wagon is on the BLANK of the hill. Ali pushes the wagon. The wagon rolls.,96c0978e-4433-5d7f-b561-cee41daa8875,top,bottom,top,bottom,top,1,159.60000002384186,210.7000000476837,,context,action_follows
A1D2W776ISG99K,retest,1,The box is close to Ali. Ali throws the ball. The box is BLANK Ali.,27bc3da0-29e8-5aff-8cdc-aebfdecd2412,close to,far from,close to,far from,close to,1,108.60000002384186,190.0,,target,action_nonfollows
A1D2W776ISG99K,retest,1,The painting is to Ali's right. The painting is moved right. The painting is to Ali's BLANK.,ead989ef-2c5a-5676-a32c-f2f2055cae2d,right,left,right,left,right,1,159.80000001192093,135.19999998807907,,target,egocentric_near
A1D2W776ISG99K,retest,2,Ali is BLANK. Ali turns around. Ali is in front of the statue.,7cfd7bad-4e38-507a-a6d8-243e8c667d1b,in front of the statue,behind the statue,in front of the statue,behind the statue,behind the statue,0,714.1999999880791,99.70000004768372,,context,action_nonfollows
A1D2W776ISG99K,retest,2,Ali is BLANK. Ali turns around. Ali is in front of the statue.,7cfd7bad-4e38-507a-a6d8-243e8c667d1b,in front of the statue,behind the statue,,,behind the statue,-1,,,"if Ali turns around and then is in front of the statue, it implies that before turning around, Ali was behind the statue",context,action_nonfollows
A1D2W776ISG99K,retest,2,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,328615c0-98c9-5734-95df-801515b5a36d,left of,right of,left of,right of,right of,0,1419.0999999642372,15728.900000035765,,context,egocentric_near
