prompt_uuid,prompt,accuracy,accuracy_sd,n_subjects,space_rt_mean,space_rt_sd,choice_rt_mean,choice_rt_sd,category,prompt_type,a,b,bin,prompt_format
27cfaf60-c6de-5209-b4bb-2abcd703a542,The painting is BLANK Ali. Ali turns right. The painting is North of Ali.,0.058823529411764705,0.8269362305593853,17,14830.45833332309,32598.44857213539,16073.733333340846,17326.93171071678,geocentric_near,context,North of,East of,3,context
2829a666-eb26-5378-b0eb-cfd72cc8b03f,Mark is in front of Ali. Mark walks forwards. Mark is getting BLANK Ali.,0.08,0.812403840463596,25,2510.388888909585,2608.6392598616926,6950.805555487673,5173.055611498849,two_refs_egocentric,target,further from,closer to,4,target
286ce04e-0e99-55bd-b40b-485e9a55ddc1,Mark is facing North and Ali is facing East. Mark turns 90 degrees to his right. Mark and Ali are facing BLANK.,0.26666666666666666,0.8837151016885367,15,4101.69090908969,8341.20491073844,14460.172727276995,21556.77082426821,two_refs_geocentric,target,the same direction,different directions,4,target
29c5b0e8-2242-5aa6-ad05-0a8b33bc7aec,Chicago is to Ali's BLANK. Ali turns left. Ali is facing towards Chicago.,0.16666666666666666,0.8106434833777775,36,4937.081481470278,5432.394823659556,7002.5666666695915,6673.568292100973,egocentric_distant,context,left,right,2,context
2a3beaa8-c767-5efa-9738-2608cfab99a2,Mark is facing South and Ali is facing East. Mark turns 90 degrees to his right. Mark and Ali are facing BLANK.,-0.15,0.6708203932499369,20,4242.30714283072,5511.595638222138,12740.978571439628,18583.456072838813,two_refs_geocentric,target,the same direction,different directions,1,target
2a40e046-fe88-5ea9-b0a5-e06a55f09649,The cup is empty. Ali pours BLANK in the cup. The cup is dry.,0.1875,0.8341662504161466,16,3603.8916666656733,4703.114740342808,11985.574999982142,18525.573142809422,state_nonfollows,context,sand,water,1,context
2a5f6d9c-8b03-5fe5-8a19-87971947d204,The glass is on the floor. Ali bumps the table. The glass BLANK.,0.14285714285714285,0.7724238832805371,35,4679.0962962980075,6371.817756964751,11422.214814827124,24076.931474386172,state_nonfollows,target,doesn't break,breaks,4,target
2afb6b5d-8e71-5ce2-97bd-e6d6b6d6e4bf,The ball is close to Ali. Ali throws the box. The ball is BLANK Ali.,0.47368421052631576,0.9048278567177281,19,4073.3142857121834,3898.842713056426,5209.400000014542,4981.213743500104,action_nonfollows,target,close to,far from,4,target
2c8f684c-1ce8-521c-8d68-9c703b78727d,Mark is North of Budapest and Ali is South of Budapest. Ali walks directly away from Mark. Ali is walking BLANK.,0.5,0.8548504142651104,14,4349.4454545305025,5043.903483683782,13241.136363629506,25607.556799980222,two_refs_geocentric,target,South,North,3,target
2e25e5be-8490-556a-a672-80c670675704,Ali is facing Chicago. Ali turns left. Chicago is BLANK Ali.,0.15,0.8750939799154206,20,4276.642857144558,8418.392758787275,5493.178571445618,3843.9261087250607,egocentric_distant,target,right of,left of,1,target
2f6ac9c5-17f9-5a23-ab8d-9d0d3d3335c4,The painting is behind Ali. Ali turns left. The painting is BLANK Ali.,0.34375,0.8273305303514508,32,3601.1480000057823,3692.922848298671,7763.068000002206,9580.639122152988,egocentric_near,target,left of,right of,1,target
313607e6-5da0-5cda-9e5c-816f8b002988,Ali is BLANK the wagon. Ali pushes on the wagon. The wagon doesn't move.,0.23529411764705882,0.8313702367707394,17,3167.784615373955,3436.245970452095,10641.861538436837,11950.3352105614,action_nonfollows,context,in,outside,1,context
313894db-d76b-5163-8db3-6e5c4869a7c2,Mark and Ali are both facing right. Ali turns to his left. Ali is facing BLANK Mark.,0.08,0.812403840463596,25,2427.9888888618184,2619.0776921399256,9529.855555553197,8970.68550868432,two_refs_egocentric,target,away from,towards,1,target
322374e3-84ec-5bc6-9a25-6ed40685fec2,Ali is East of Milwaukee. Ali walks East. Ali is getting BLANK Milwaukee.,0.09090909090909091,0.8111773283374346,22,6050.293750008568,6867.188454242543,7953.00625000312,6754.83883040329,geocentric_distant,target,further from,closer to,2,target
328615c0-98c9-5734-95df-801515b5a36d,Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,-0.16,0.6774879327264057,100,5167.2235294094,6286.886752788219,9174.761764711537,10026.939241149545,egocentric_near,context,left of,right of,1,context
32e2f418-ea5f-51a7-b0a7-31dc7b546d0d,Mark is to the BLANK Ali. Mark looks to his left and Ali looks to his left. Ali is facing towards Mark.,0.0,0.7637626158259734,25,4499.127777757951,9017.10178933732,9274.749999981166,8745.638992151882,two_refs_egocentric,context,left of,right of,3,context
36c076db-ae0e-5966-819d-9d048054999d,The ice cube and the banana are in the fridge. Ali takes the BLANK out of the fridge. The ice cube doesn't melt.,0.23684210526315788,0.8521581672219165,38,4277.735714293218,3288.649395883066,4846.403571430327,6763.795601512008,state_nonfollows,context,banana,ice cube,1,context
3912f615-9518-5062-bfe9-b9deae98b3cc,The wall was painted BLANK ago. Ali touches the wall. Ali's hand is clean.,0.5714285714285714,0.8516306272526402,14,2439.290909104049,1933.640376839047,7683.072727277875,8003.633912159156,state_nonfollows,context,1 month,5 minutes,3,context
3a1992c7-e8c1-55ab-843c-616cf72ae3d9,The painting is right of Ali. Ali turns left. The painting is BLANK Ali.,0.2631578947368421,0.8719139396343282,19,3156.7428571249475,2851.7879875096214,7316.892857166423,6166.1207275136685,egocentric_near,target,behind,in front of,4,target
3b349749-0956-5093-b528-ea281f998710,Mark is to the left of Ali. Mark looks to his left and Ali looks to his left. Ali is facing BLANK Mark.,0.04,0.7895146188218007,25,3355.9166666979177,3671.969665896945,10567.449999993667,17603.85865910276,two_refs_egocentric,target,towards,away from,4,target
3b54627a-3d0d-5aef-8261-dfac8b6f52ff,Mark is directly BLANK of Paris and Ali is directly West of Paris. Mark is East of Ali.,0.4375,0.8920949127381756,16,3508.783333330493,6576.031048207707,22168.924999996165,37993.53886068874,two_refs_geocentric,context,East,West,2,context
3d1c523b-903d-52c2-a5ef-c6868cafe157,The painting is South of Ali. Ali turns left. The painting is BLANK Ali.,0.10526315789473684,0.8752610304046612,19,3350.238461531412,2617.6754075422755,106689.24615384435,346680.0286154447,geocentric_near,target,South of,East of,4,target
3d9a8209-4859-5626-ae60-7106a591cf7d,Ali is to Mark's BLANK. Ali turns around. Ali is to Mark's right.,0.04,0.7895146188218007,25,3190.650000002649,3235.2535858905326,7399.983333325427,8772.907159264072,two_refs_egocentric,context,right,left,1,context
3ef7c0d3-f0fc-5155-b66f-55f7a3fa94af,Ali is in front of the painting. Ali turns around. Ali is BLANK the painting,0.0,0.7669649888473704,18,3779.453846163761,5832.4188166380545,5150.446153861399,3914.571263171545,egocentric_near,target,in front of,behind,1,target
40d46345-fe82-5f5a-82a0-f24d259674d7,Ali is BLANK the wagon. Ali pushes on the wagon. The wagon moves.,0.4117647058823529,0.8569730754521468,34,4231.126923074516,6147.800392891886,8683.56538460891,11213.237536758395,action_follows,context,behind,in front of,4,context
424089ec-6146-5b3f-bd32-9565a5513fe0,The box is West of Ali. Ali turns around. The box is BLANK Ali.,0.0,0.7905694150420949,17,4129.674999994536,4587.961440759794,8816.075000003291,12617.181064232838,geocentric_near,target,West of,East of,1,target
43bffc24-3955-522c-a74b-5fd4b204d283,The soup is on the table. Ali turns on the stove. The soup gets BLANK.,-0.05555555555555555,0.7253576985527025,18,5823.546153825349,12741.492522574279,10795.253846155336,18909.40151527946,state_nonfollows,target,colder,warmer,3,target
43ee992d-ffc4-5dbd-9aa3-d6017f8b92d1,The ball and the box are on top of the ramp. The ball rolls down the ramp. The ball is BLANK the box.,0.36,0.9073771725877466,25,3404.583333346579,3531.8613290350327,7335.899999992922,5882.411294397511,relative_pos,target,lower than,higher than,2,target
449d83b2-712b-5aac-8c22-00d1bb07b0f7,Ali is facing BLANK Mark. Ali turns around. Ali is facing towards Mark.,0.3333333333333333,0.8563488385776752,21,2756.787499967497,2558.254737603969,6639.53749998752,6968.162416077747,two_refs_egocentric,context,away from,towards,1,context
44cb7648-b29b-5b98-992e-d7e249daa6b6,The wine glass is on the table. Ali bumps the lamp. The wine BLANK.,0.10526315789473684,0.8093026382225119,19,28801.892857147115,95478.73920263721,29464.492857147532,94394.65989666441,action_nonfollows,target,doesn't spill,spills,2,target
4638c94d-5d90-536c-8392-2529e12efbd1,The ball is at the bottom of the ramp. Ali pushes the ball. The ball is at the BLANK of the ramp.,-0.09090909090909091,0.750180353495453,22,3521.4400000097853,4356.4471859489295,7152.2933333511155,6978.032363614957,action_nonfollows,target,bottom,top of,4,target
4684617b-bc66-5458-84f2-0a4ff0a561ac,Mark is facing North. Mark turns 90 degrees to his right. Mark is facing BLANK.,0.3,0.8645047258706176,20,6291.693333320816,6347.461449083759,6313.493333330999,5571.009498102263,geocentric_near,target,East,West,3,target
4690ea72-a11d-5004-8bed-c2d12e52a1a1,Mark is directly South of Paris and Ali is directly West of Paris. Mark is BLANK of Ali.,0.375,0.8850612031567836,16,4967.691666656407,6479.305284796896,11351.883333346186,11121.405513934478,two_refs_geocentric,target,Southeast,Northwest,1,target
46fb383c-f8fd-5ce3-96b1-e50d6899f10d,The tennis ball is at the top of the ramp and the bowling ball is at the BLANK of the ramp. Ali rolls the tennis ball down the ramp. The tennis ball is getting closer to the bowling ball.,0.42857142857142855,0.8701395618766321,21,4068.5250000213273,4248.170242138913,6630.868750024121,6007.505751443381,relative_pos,context,bottom,top,2,context
477d44eb-6672-5eae-bebc-bd944786e92c,Milwaukee is North of Ali. Ali turns right. Milwaukee is BLANK Ali.,0.1111111111111111,0.8323523637957304,18,11674.523076919959,27325.577246451267,21326.846153847586,42744.37975667239,geocentric_distant,target,North of,East of,3,target
47856cd0-4034-58db-b6c8-09eef76a40e4,The painting is East of Ali. Ali turns right. The painting is BLANK Ali.,0.0,0.7905694150420949,17,9532.000000002483,11805.704992388255,6036.01666665699,6770.790996201568,geocentric_near,target,East of,South of,1,target
48bff914-3c65-5b87-a359-0a1184e0384a,Mark is behind Ali. Mark walks backwards. Mark is getting BLANK Ali.,0.4117647058823529,0.7952062255644573,17,3532.2714285185293,3228.6385843412695,11802.185714295667,21565.619782346406,two_refs_egocentric,target,further from,closer to,1,target
4cde61ac-2955-5d50-8692-d17bf79b8940,Ali is BLANK the painting. Ali turns around. Ali is in front of the painting,0.10638297872340426,0.8401356658869341,47,4217.36969697385,5445.592481683386,7287.863636367474,10727.558912615552,egocentric_near,context,in front of,behind,2,context
4da6b0a2-fbd8-5d77-8b6a-05110a23606c,The tennis ball is BLANK the bowling ball. Ali rolls the bowling ball. The bowling ball is further from the tennis ball.,-0.06896551724137931,0.7526635789342987,29,2652.5099999632685,2142.965931788614,40151.634999994,129716.8524560946,relative_pos,context,touching,far from,2,context
4e2ccb54-af98-56e1-8eb8-74bc46abf088,The statue is East of Ali. Ali walks South. The statue is BLANK of Ali.,0.06666666666666667,0.7988086367179803,15,8530.627272727434,15445.056175938376,17133.963636360375,18239.23544062801,geocentric_near,target,East of,North of,4,target
4ec12ad0-e7c6-511d-97e4-2c59b20c8143,Milwaukee is North of Mark. Mark goes East. Milwaukee is BLANK of Mark.,0.22727272727272727,0.9223065383316713,22,3336.8333333269384,4475.329603607447,7750.0333333528915,8024.888919024842,two_refs_geocentric,target,Northwest,Southeast,1,target
4ec6ce58-d4e5-5258-9721-9abd60a41155,Milwaukee is North of Ali. Ali turns left. Milwaukee is BLANK Ali.,0.25,0.8968544062928812,24,49828.729411769,185900.55339796026,8085.8117647125,11647.902586030625,geocentric_distant,target,North of,West of,4,target
4ff80aaf-24a6-56a6-8436-4aafd349574d,The box is BLANK Ali. Ali turns around. The box is East of Ali.,0.05263157894736842,0.8481145238787242,19,2908.946153845065,2224.7003684347733,10886.138461543103,10498.30714453167,geocentric_near,context,East of,West of,3,context
50388291-cfb1-51f5-b757-16c6ee10b4c6,Mark is East of Budapest and Ali is West of Budapest. Ali walks directly towards Mark. Ali is heading BLANK.,0.2777777777777778,0.8947924869885989,18,3703.3692307949354,4272.622816517477,11955.507692321275,22661.841194814417,two_refs_geocentric,target,East,West,2,target
5042a6f6-7c11-5467-85b5-0ab828d3c5d1,Ali is to the BLANK Mark. Mark looks to his left and Ali looks to his right. Ali is facing away from Mark.,0.20833333333333334,0.832970935693524,24,4921.138888916001,5877.663344338976,10058.661111135863,9234.392471116918,two_refs_egocentric,context,right of,left of,2,context
509b8364-1a32-5e7f-93c8-449b551718c5,The statue is North of Ali. Ali walks West. The statue is BLANK of Ali.,0.13636363636363635,0.8335497554466649,22,3962.3624999905005,5831.524583827332,16822.931249987334,25425.46267393413,geocentric_near,target,North of,East of,1,target
51131205-c4fb-50ee-89c0-28f617579e69,Chicago is BLANK Ali. Ali turns around. Chicago is left of Ali.,0.3125,0.873212459828649,16,3938.2166666626968,4677.532653927148,10317.383333344265,19388.457429886304,egocentric_distant,context,right of,left of,1,context
51d41ac1-cf08-5458-8208-4162c1e865f6,Mark is North of Budapest and Ali is South of Budapest. Ali walks directly BLANK Mark. Ali is walking South.,0.5,0.8548504142651104,14,5691.518181794239,10349.928688219183,8513.209090880964,8880.775423369081,two_refs_geocentric,context,away from,towards,3,context
527fdd15-db92-57e8-bc5c-09d9964e45b1,Ali is behind the statue. Ali turns around. Ali is BLANK.,0.022727272727272728,0.7920722413504783,44,3267.5096774163744,2905.1115747247654,6647.141935489832,7335.549734395624,action_nonfollows,target,behind the statue,in front of the statue,3,target
53b9d39a-77d2-590e-9013-2041416cf80e,The statue is North of Ali. Ali walks East. The statue is BLANK of Ali.,0.125,0.8501917942185291,24,5644.676470578813,7454.138911064904,6835.094117642545,7360.867588302454,geocentric_near,target,North of,West of,4,target
53eb0547-cabf-5f87-bb4d-eeb9eb0e29ca,The statue is BLANK Ali. Ali walks South. The statue is West of Ali.,0.25,0.8506963092234007,20,8349.79999998957,13851.16187370024,10002.140000014255,17944.773279612735,geocentric_near,context,West of,North of,2,context
54597470-4866-5387-8c1a-5629d30b67d7,The box is BLANK Ali. Ali turns around. The box is West of Ali.,0.041666666666666664,0.8064504441319253,24,4948.805882357499,7288.804003103681,5039.623529413387,5123.39536203425,geocentric_near,context,West of,East of,4,context
554eecfd-5f36-53a1-a69b-9db494809329,Ali and Mark are facing eachother. BLANK turns around. Ali is facing towards Mark.,0.3157894736842105,0.8200698871944031,19,2854.4799999410907,2874.547273176846,16113.926666624844,21933.56882762403,two_refs_egocentric,context,Mark,Ali,3,context
55e95efb-f247-5bea-8540-4b6bee6c11de,Ali is to the right of Mark. Mark looks to his left and Ali looks to his right. Ali is facing BLANK Mark.,0.23809523809523808,0.8309489698388165,21,4118.037500011036,5367.07702519593,6261.824999969685,5464.296550402753,two_refs_egocentric,target,away from,towards,1,target
57cc77e0-a299-5a13-85a3-20664a0f6ef1,The painting is BLANK Ali. Ali turns around. The painting is South of Ali.,0.4375,0.8139410298049854,16,6569.592307676489,8743.5077951623,4312.930769226586,4831.308393592131,geocentric_near,context,South of,North of,2,context
58361726-9384-5c8e-b9f5-34e514fbfb2c,Ali is facing BLANK Chicago. Ali turns right. Chicago is left of Ali.,0.25,0.8563488385776752,16,17289.28333330496,48031.53174303358,10798.416666654559,7890.940041709893,egocentric_distant,context,towards,away from,4,context
5859e8ff-6125-598f-b093-8490c86f6e42,The book is under the table. Ali moves the table. The book BLANK.,0.3125,0.873212459828649,16,2289.4499999731875,1685.0008974660682,7126.0916666468065,4878.794312972539,action_nonfollows,target,doesn't move,moves,1,target
58907312-5ecd-56cf-9d0c-b08e912cefd9,The wall was painted BLANK ago. Ali touches the wall. Ali's hand is painted.,0.17647058823529413,0.8089572082044156,17,2962.730769229659,1836.1425781660423,4522.8000000091715,4573.730803182374,state_follows,context,5 minutes,1 month,2,context
5971347d-237f-515b-b782-01ff47f5650a,Milwaukee is BLANK Ali. Ali turns around. Milwaukee is West of Ali.,0.22727272727272727,0.8691439785278705,22,3880.7687499888707,3894.6081234953585,10773.96249997872,15244.153403043043,geocentric_distant,context,West of,East of,4,context
5a02c0af-7a58-5836-894b-de2e4b5c22df,The ball is inside the box. Ali picks up the ball. The ball is BLANK the box.,0.5882352941176471,0.7952062255644574,17,2393.85000002331,2139.4889252419844,7897.871428562595,8986.131002270851,relative_pos,target,not touching,touching,4,target
5d911c67-0b83-55ee-8134-8ce38b110d99,Milwaukee is BLANK Ali. Ali turns left. Milwaukee is South of Ali.,0.18181818181818182,0.8528028654224417,22,5595.043749999488,7367.542325818452,47109.668750008335,148989.16311483222,geocentric_distant,context,South of,East of,4,context
5dcfd461-7fc1-571b-a376-3585ca034a0e,Ali is facing away from Milwaukee. Ali turns 180 degrees. Ali is facing BLANK Milwaukee.,0.42857142857142855,0.85163062725264,14,5594.536363654516,4805.09407054628,4546.5272727629,4995.771820849748,egocentric_distant,target,towards,away from,1,target
5eae654e-13dc-5485-8e29-6016fcf0bcc5,The painting is to Ali's BLANK. The painting is moved left. The painting is to Ali's right.,0.047619047619047616,0.8047478161629565,21,4119.593333347281,4961.4359401251795,10369.146666664414,9365.257545079665,egocentric_near,context,left,right,4,context
5ee8a7e5-a2c1-5a21-b180-f0a7a538e6be,Milwaukee is North of Ali. Ali turns around. Milwaukee is BLANK Ali.,0.2,0.8335087534664907,20,4995.786666663985,5906.6685882210995,4606.1400000105305,5183.621878129175,geocentric_distant,target,North of,South of,3,target
617ce912-b692-5ce2-acf4-9eabd9adc7e8,The painting is BLANK of Ali. Ali turns around. The painting is East of Ali.,0.15,0.8750939799154206,20,2709.9071428567904,1748.8053084463152,10188.178571422992,14342.549214623159,geocentric_near,context,East of,West of,3,context
62cd0646-56c3-54a3-b533-01c5754318f3,The painting is to Ali's BLANK. The painting is moved right. The painting is to Ali's right.,-0.13636363636363635,0.7101612523427369,22,4699.133333314171,6634.962833202456,5850.926666652373,3835.5839809477493,egocentric_near,context,right,left,3,context
64e3f33d-f1bb-5469-960d-6b974ada7e0a,The painting is North of Ali. Ali turns around. The painting is BLANK Ali.,0.0,0.7905694150420949,17,3117.600000002111,1839.0751761742702,6646.616666661265,8455.427447914068,geocentric_near,target,North of,South of,1,target
654f3246-8a02-5b35-998c-05ad57e525bc,The statue is BLANK Ali. Ali walks South. The statue is East of Ali.,0.06666666666666667,0.7988086367179803,15,12917.309090904215,27699.371728845625,15722.163636360317,10768.859553843644,geocentric_near,context,East of,North of,4,context
65c476d8-7b46-50ad-9fa1-ba59c9300205,Mark is BLANK Ali. Mark walks forwards. Mark is getting further from Ali.,0.18518518518518517,0.8786806997310072,27,2732.8263158070804,2396.0361270167114,9001.268421033103,7674.17545499546,two_refs_egocentric,context,in front of,behind,4,context
